tau,lockout_hours,n_patients,n_sepsis,n_nonsepsis,sepsis_detected,sepsis_detection_rate,nonsepsis_alerted,nonsepsis_alert_rate,alerts_total,alerts_per_100_patient_hours,lead_time_median,lead_time_mean,lead_ge_1_rate,lead_ge_3_rate,lead_ge_6_rate
0.01,6,493,39,454,39,1.0,5,0.011013215859030838,423,2.20945416557848,63.0,66.1025641025641,1.0,0.9487179487179487,0.8461538461538461
0.01473684210526316,6,493,39,454,39,1.0,5,0.011013215859030838,423,2.20945416557848,63.0,66.1025641025641,1.0,0.9487179487179487,0.8461538461538461
0.019473684210526317,6,493,39,454,39,1.0,5,0.011013215859030838,423,2.20945416557848,63.0,66.1025641025641,1.0,0.9487179487179487,0.8461538461538461
0.024210526315789474,6,493,39,454,39,1.0,5,0.011013215859030838,423,2.20945416557848,63.0,66.1025641025641,1.0,0.9487179487179487,0.8461538461538461
0.02894736842105263,6,493,39,454,39,1.0,5,0.011013215859030838,423,2.20945416557848,63.0,66.1025641025641,1.0,0.9487179487179487,0.8461538461538461
0.03368421052631579,6,493,39,454,39,1.0,5,0.011013215859030838,423,2.20945416557848,63.0,66.1025641025641,1.0,0.9487179487179487,0.8461538461538461
0.03842105263157895,6,493,39,454,39,1.0,1,0.0022026431718061676,413,2.1572212065813527,63.0,66.07692307692308,1.0,0.9487179487179487,0.8461538461538461
0.04315789473684211,6,493,39,454,39,1.0,1,0.0022026431718061676,413,2.1572212065813527,63.0,66.07692307692308,1.0,0.9487179487179487,0.8461538461538461
0.04789473684210527,6,493,39,454,39,1.0,1,0.0022026431718061676,413,2.1572212065813527,63.0,66.07692307692308,1.0,0.9487179487179487,0.8461538461538461
0.052631578947368425,6,493,39,454,39,1.0,1,0.0022026431718061676,413,2.1572212065813527,63.0,66.07692307692308,1.0,0.9487179487179487,0.8461538461538461
0.05736842105263158,6,493,39,454,39,1.0,1,0.0022026431718061676,413,2.1572212065813527,63.0,66.07692307692308,1.0,0.9487179487179487,0.8461538461538461
0.06210526315789474,6,493,39,454,39,1.0,1,0.0022026431718061676,413,2.1572212065813527,63.0,66.07692307692308,1.0,0.9487179487179487,0.8461538461538461
0.0668421052631579,6,493,39,454,39,1.0,0,0.0,322,1.6819012797074957,55.0,62.23076923076923,1.0,0.9487179487179487,0.8461538461538461
0.07157894736842106,6,493,39,454,39,1.0,0,0.0,321,1.6766779838077828,55.0,62.23076923076923,1.0,0.9487179487179487,0.8461538461538461
0.07631578947368421,6,493,39,454,39,1.0,0,0.0,321,1.6766779838077828,55.0,62.23076923076923,1.0,0.9487179487179487,0.8461538461538461
0.08105263157894736,6,493,39,454,39,1.0,0,0.0,314,1.6401149125097936,55.0,62.17948717948718,1.0,0.9487179487179487,0.8461538461538461
0.08578947368421053,6,493,39,454,35,0.8974358974358975,0,0.0,166,0.8670671193523114,40.0,53.05714285714286,0.8974358974358975,0.8461538461538461,0.717948717948718
0.09052631578947369,6,493,39,454,35,0.8974358974358975,0,0.0,166,0.8670671193523114,40.0,53.05714285714286,0.8974358974358975,0.8461538461538461,0.717948717948718
0.09526315789473684,6,493,39,454,35,0.8974358974358975,0,0.0,166,0.8670671193523114,40.0,53.05714285714286,0.8974358974358975,0.8461538461538461,0.717948717948718
0.1,6,493,39,454,35,0.8974358974358975,0,0.0,166,0.8670671193523114,40.0,53.05714285714286,0.8974358974358975,0.8461538461538461,0.717948717948718
0.125,6,493,39,454,13,0.3333333333333333,0,0.0,15,0.07834943849569079,12.0,30.692307692307693,0.3333333333333333,0.28205128205128205,0.20512820512820512
0.15000000000000002,6,493,39,454,13,0.3333333333333333,0,0.0,15,0.07834943849569079,12.0,30.692307692307693,0.3333333333333333,0.28205128205128205,0.20512820512820512
0.17500000000000002,6,493,39,454,13,0.3333333333333333,0,0.0,15,0.07834943849569079,12.0,30.615384615384617,0.3333333333333333,0.28205128205128205,0.20512820512820512
0.2,6,493,39,454,13,0.3333333333333333,0,0.0,15,0.07834943849569079,12.0,30.615384615384617,0.3333333333333333,0.28205128205128205,0.20512820512820512
0.225,6,493,39,454,13,0.3333333333333333,0,0.0,15,0.07834943849569079,12.0,30.615384615384617,0.3333333333333333,0.28205128205128205,0.20512820512820512
0.25,6,493,39,454,13,0.3333333333333333,0,0.0,15,0.07834943849569079,12.0,30.615384615384617,0.3333333333333333,0.28205128205128205,0.20512820512820512
0.275,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.30000000000000004,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.325,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.35,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.375,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.4,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.42500000000000004,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.45000000000000007,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.475,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.5,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.55,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.6,6,493,39,454,8,0.20512820512820512,0,0.0,9,0.04700966309741447,10.5,29.25,0.20512820512820512,0.1794871794871795,0.1282051282051282
0.65,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.7,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.75,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.8,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.85,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.8999999999999999,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
0.95,6,493,39,454,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0
